stage,engine,query,filter,sel,threads,warm_s
g-1m-q,D-JOIN,Q2,F1,S1,1,0.021757
g-1m-q,D-JOIN,Q2,F1,S1,4,0.024215
g-1m-q,D-JOIN,Q2,F2,S0,1,0.047198
g-1m-q,D-JOIN,Q2,F2,S0,4,0.035606
g-1m-q,D-JOIN,Q2,F2,S1,1,0.020672
g-1m-q,D-JOIN,Q2,F2,S1,4,0.022075
g-1m-q,D-JOIN,Q2,F3,S0,1,0.113464
g-1m-q,D-JOIN,Q2,F3,S0,4,0.071938
g-1m-q,D-JOIN,Q2,F3,S1,1,0.021252
g-1m-q,D-JOIN,Q2,F3,S1,4,0.025321
g-1m-q,D-JOIN,Q2,F4,S0,1,0.157945
g-1m-q,D-JOIN,Q2,F4,S0,4,0.101640
g-1m-q,D-JOIN,Q2,F4,S1,1,0.023527
g-1m-q,D-JOIN,Q2,F4,S1,4,0.030408
g-1m-q,D-JOIN,Q2,F5,S0,1,0.020612
g-1m-q,D-JOIN,Q2,F5,S0,4,0.021667
g-1m-q,D-JOIN,Q2,F5,S1,1,0.026919
g-1m-q,D-JOIN,Q2,F5,S1,4,0.029812
g-1m-q,D-JOIN,Q3,F1,S0,1,0.010444
g-1m-q,D-JOIN,Q3,F1,S0,4,0.010832
g-1m-q,D-JOIN,Q3,F1,S1,1,0.011161
g-1m-q,D-JOIN,Q3,F1,S1,4,0.010052
g-1m-q,D-JOIN,Q3,F2,S0,1,0.011022
g-1m-q,D-JOIN,Q3,F2,S0,4,0.010158
g-1m-q,D-JOIN,Q3,F2,S1,1,0.010538
g-1m-q,D-JOIN,Q3,F2,S1,4,0.010013
g-1m-q,D-JOIN,Q3,F3,S0,1,0.010763
g-1m-q,D-JOIN,Q3,F3,S0,4,0.010636
g-1m-q,D-JOIN,Q3,F3,S1,1,0.012720
g-1m-q,D-JOIN,Q3,F3,S1,4,0.010488
g-1m-q,D-JOIN,Q3,F4,S0,1,0.009843
g-1m-q,D-JOIN,Q3,F4,S0,4,0.011702
g-1m-q,D-JOIN,Q3,F4,S1,1,0.010956
g-1m-q,D-JOIN,Q3,F4,S1,4,0.009706
g-1m-q,D-JOIN,Q3,F5,S0,1,0.009688
g-1m-q,D-JOIN,Q3,F5,S0,4,0.009620
g-1m-q,D-JOIN,Q3,F5,S1,1,0.009941
g-1m-q,D-JOIN,Q3,F5,S1,4,0.009792
g-1m-q,D-JOIN,Q5,F1,S0,1,0.125116
g-1m-q,D-JOIN,Q5,F1,S0,4,0.058662
g-1m-q,D-JOIN,Q5,F1,S1,1,0.022981
g-1m-q,D-JOIN,Q5,F1,S1,4,0.025128
g-1m-q,D-JOIN,Q5,F2,S0,1,0.050389
g-1m-q,D-JOIN,Q5,F2,S0,4,0.037122
g-1m-q,D-JOIN,Q5,F2,S1,1,0.019952
g-1m-q,D-JOIN,Q5,F2,S1,4,0.022782
g-1m-q,D-JOIN,Q5,F3,S0,1,0.119662
g-1m-q,D-JOIN,Q5,F3,S0,4,0.074912
g-1m-q,D-JOIN,Q5,F3,S1,1,0.023173
g-1m-q,D-JOIN,Q5,F3,S1,4,0.025854
