engine,query,filter,sel,threads,cold_s,warm_s
D-JOIN,Q2,F3,S0,4,0.105435,0.071938
D-JOIN,Q2,F3,S1,1,0.052058,0.021252
D-JOIN,Q2,F3,S1,4,0.050806,0.025321
D-JOIN,Q2,F4,S0,1,0.209665,0.157945
D-JOIN,Q2,F4,S0,4,0.137216,0.101640
D-JOIN,Q2,F4,S1,1,0.053716,0.023527
D-JOIN,Q2,F4,S1,4,0.056739,0.030408
D-JOIN,Q2,F5,S0,1,0.043847,0.020612
D-JOIN,Q2,F5,S0,4,0.039737,0.021667
D-JOIN,Q2,F5,S1,1,0.050487,0.026919
D-JOIN,Q2,F5,S1,4,0.054183,0.029812
D-JOIN,Q3,F1,S0,1,0.047629,0.010444
D-JOIN,Q3,F1,S0,4,0.052642,0.010832
D-JOIN,Q3,F1,S1,1,0.053649,0.011161
D-JOIN,Q3,F1,S1,4,0.046481,0.010052
D-JOIN,Q3,F2,S0,1,0.053977,0.011022
D-JOIN,Q3,F2,S0,4,0.052190,0.010158
D-JOIN,Q3,F2,S1,1,0.048307,0.010538
D-JOIN,Q3,F2,S1,4,0.048669,0.010013
D-JOIN,Q3,F3,S0,1,0.052661,0.010763
D-JOIN,Q3,F3,S0,4,0.048591,0.010636
D-JOIN,Q3,F3,S1,1,0.057459,0.012720
D-JOIN,Q3,F3,S1,4,0.052293,0.010488
D-JOIN,Q3,F4,S0,1,0.050267,0.009843
D-JOIN,Q3,F4,S0,4,0.069152,0.011702
D-JOIN,Q3,F4,S1,1,0.045601,0.010956
D-JOIN,Q3,F4,S1,4,0.050085,0.009706
D-JOIN,Q3,F5,S0,1,0.055147,0.009688
D-JOIN,Q3,F5,S0,4,0.049956,0.009620
D-JOIN,Q3,F5,S1,1,0.044374,0.009941
D-JOIN,Q3,F5,S1,4,0.045684,0.009792
D-JOIN,Q5,F1,S0,1,0.176973,0.125116
D-JOIN,Q5,F1,S0,4,0.094436,0.058662
D-JOIN,Q5,F1,S1,1,0.053494,0.022981
D-JOIN,Q5,F1,S1,4,0.047870,0.025128
D-JOIN,Q5,F2,S0,1,0.073304,0.050389
D-JOIN,Q5,F2,S0,4,0.065047,0.037122
D-JOIN,Q5,F2,S1,1,0.044243,0.019952
D-JOIN,Q5,F2,S1,4,0.045076,0.022782
D-JOIN,Q5,F3,S0,1,0.168617,0.119662
D-JOIN,Q5,F3,S0,4,0.124079,0.074912
D-JOIN,Q5,F3,S1,1,0.045338,0.023173
D-JOIN,Q5,F3,S1,4,0.055707,0.025854
D-JOIN,Q5,F4,S0,1,0.220296,0.163937
D-JOIN,Q5,F4,S0,4,0.150055,0.102028
D-JOIN,Q5,F4,S1,1,0.049122,0.027698
D-JOIN,Q5,F4,S1,4,0.052782,0.026921
D-JOIN,Q5,F5,S0,1,0.043158,0.018650
D-JOIN,Q5,F5,S0,4,0.039986,0.020839
D-JOIN,Q5,F5,S1,1,0.050140,0.026906
D-JOIN,Q5,F5,S1,4,0.054134,0.028251
A-ALIGNED,Q1,F1,S0,1,0.035662,0.015633
A-ALIGNED,Q1,F1,S0,4,0.029458,0.010287
A-ALIGNED,Q1,F1,S1,1,0.033136,0.013240
A-ALIGNED,Q1,F1,S1,4,0.028185,0.009541
A-ALIGNED,Q1,F2,S0,1,0.026272,0.009031
A-ALIGNED,Q1,F2,S0,4,0.025663,0.007817
A-ALIGNED,Q1,F2,S1,1,0.025349,0.008025
A-ALIGNED,Q1,F2,S1,4,0.025217,0.007700
A-ALIGNED,Q1,F3,S0,1,0.033827,0.014608
A-ALIGNED,Q1,F3,S0,4,0.029894,0.012634
A-ALIGNED,Q1,F3,S1,1,0.033146,0.015580
A-ALIGNED,Q1,F3,S1,4,0.028781,0.009436
A-ALIGNED,Q1,F4,S0,1,0.064718,0.049318
A-ALIGNED,Q1,F4,S0,4,0.046437,0.022996
A-ALIGNED,Q1,F4,S1,1,0.039180,0.019988
A-ALIGNED,Q1,F4,S1,4,0.035225,0.011438
A-ALIGNED,Q1,F5,S0,1,0.031491,0.012201
A-ALIGNED,Q1,F5,S0,4,0.028461,0.009501
A-ALIGNED,Q1,F5,S1,1,0.036069,0.014561
A-ALIGNED,Q1,F5,S1,4,0.028625,0.010805
A-ALIGNED,Q2,F1,S0,1,0.035479,0.016759
A-ALIGNED,Q2,F1,S0,4,0.029785,0.011471
A-ALIGNED,Q2,F1,S1,1,0.032925,0.013698
A-ALIGNED,Q2,F1,S1,4,0.038514,0.010719
A-ALIGNED,Q2,F2,S0,1,0.027626,0.009513
A-ALIGNED,Q2,F2,S0,4,0.027024,0.008657
A-ALIGNED,Q2,F2,S1,1,0.026835,0.008369
A-ALIGNED,Q2,F2,S1,4,0.026981,0.008701
A-ALIGNED,Q2,F3,S0,1,0.045210,0.018844
A-ALIGNED,Q2,F3,S0,4,0.031385,0.010898
A-ALIGNED,Q2,F3,S1,1,0.032595,0.014907
A-ALIGNED,Q2,F3,S1,4,0.035846,0.011332
A-ALIGNED,Q2,F4,S0,1,0.063709,0.046439
A-ALIGNED,Q2,F4,S0,4,0.043241,0.023680
A-ALIGNED,Q2,F4,S1,1,0.038573,0.019371
A-ALIGNED,Q2,F4,S1,4,0.038456,0.012766
A-ALIGNED,Q2,F5,S0,1,0.035587,0.014177
A-ALIGNED,Q2,F5,S0,4,0.032031,0.011212
A-ALIGNED,Q2,F5,S1,1,0.046297,0.017731
A-ALIGNED,Q2,F5,S1,4,0.029849,0.010612
A-ALIGNED,Q3,F1,S0,1,0.046285,0.009331
A-ALIGNED,Q3,F1,S0,4,0.045528,0.009350
A-ALIGNED,Q3,F1,S1,1,0.048156,0.009944
A-ALIGNED,Q3,F1,S1,4,0.045037,0.011151
A-ALIGNED,Q3,F2,S0,1,0.045345,0.009375
A-ALIGNED,Q3,F2,S0,4,0.048223,0.010082
A-ALIGNED,Q3,F2,S1,1,0.043402,0.008906
A-ALIGNED,Q3,F2,S1,4,0.051329,0.009355
A-ALIGNED,Q3,F3,S0,1,0.043523,0.009336
A-ALIGNED,Q3,F3,S0,4,0.053672,0.009198
A-ALIGNED,Q3,F3,S1,1,0.044387,0.009346
